"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW_Z_1,SW_Y_1,SW_YEN_1,SW_X_1,SW_W_1,SW_WE_1,SW_V_1,SW_U_1,SW_UP_1,SW_T_1,SW_TAB_1,SW_S_1,SW_SUP_1,SW_STP_1,SW_SP2_1,SW_SP1_1,SW_SMI_1,SW_SLS_1,SW_R_1,SW_RSH_ALIAS_1,SW_RSH_1,SW_RLU_1,SW_RLD_1,SW_RIGHT_1,SW_Q_1,SW_P_1,SW_O_1,SW_N_1,SW_M_1,SW_MN_1,SW_L_1,SW_LT_1,SW_LS2_1,SW_LS1_1,SW_LEFT_1,SW_K_1,SW_KPPLUS_1,SW_KPPER_1,SW_KPMULT_1,SW_KPMIN_1,SW_KPHOME_1,SW_KPHELP1,SW_KPEQ_1,SW_KPENT_1,SW_KPDIV_1,SW_KPCOM_1,SW_KP9_1,SW_KP8_1,SW_KP7_1,SW_KP6_1,SW_KP5_1,SW_KP4_1,SW_KP3_1,SW_KP2_1,SW_KP1_1,SW_KP0_1,SW_J_1,SW_I_1,SW_H_1,SW_G_1,SW_GT_1,SW_F_1,SW_FC_1,SW_F5_1,SW_F4_1,SW_F3_1,SW_F2_1,SW_F1_1,SW_E_1,SW_ET_1,SW_ESC_1,SW_ED_1,SW_D_1,SW_DOWN_1,SW_DEL_1,SW_C_1,SW_CTRL_1,SW_CPY_1,SW_COL_1,SW_CAR_1,SW_CAPS_1,SW_B_1,SW_A_1,SW_AT_1,SW_AMG_1,SW_ALT_1,SW_9_1,SW_8_1,SW_7_1,SW_6_1,SW_5_1,SW_4_1,SW_3_1,SW_2_1,SW_1_1,SW_0_1";"mx-nec-alps";96;"mx-alps-nec";;;
2;"LED1,LED2,LED3";"WS2812BDual";3;"WS2812B";;;
3;"H2";"MountingHole_2.7mm_M2.5_Pad";1;"MountingHole_Pad";;;
4;"SW1";"SKQG-1155865";1;"SW_Push";;;
5;"D16,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D12,D13,D14,D15,D17,D18,D19,D20,D21,D23,D24,D25,D26,D27,D28,D29,D30,D31,D32,D34,D35,D36,D37,D38,D39,D40,D41,D42,D44,D45,D46,D47,D48,D49,D50,D51,D52,D53,D54,D56,D57,D58,D59,D60,D61,D62,D63,D64,D65,D67,D68,D69,D70,D71,D72,D73,D75,D76,D78,D81,D82,D83,D84,D85,D89,D90,D91,D92,D93,D94,D95,D96,D97,D99,D101,D102,D103,D104,D109,D110,D98,D106,D105,D43";"D_SOD-123";95;"D_Small";;;
6;"C8,C9,C10,C1,C2,C5,C11";"C_0805_2012Metric";7;"0.1uF";;;
7;"R1";"R_0805_2012Metric";1;"330";;;
8;"C6";"C_0805_2012Metric";1;"1uF";;;
9;"C7";"C_0805_2012Metric";1;"10uF";;;
10;"J1";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"Conn_01x04_MountingPin";;;
11;"R3,R4";"R_0805_2012Metric";2;"10k";;;
12;"U1";"atmega32u4-mu-and-au";1;"ATmega32U4-MU";;;
13;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
14;"C3,C4";"C_0805_2012Metric";2;"22pF";;;
15;"R5,R2,R6";"R_0805_2012Metric";3;"22";;;
16;"BUZ1";"Buzzer_Mallory_AST1109MLTRQ";1;"Buzzer";;;
