Designator,Mid X,Mid Y,Rotation,Layer
"BUZ1",322.150000,-68.200000,0.000000,bottom
"C1",413.000000,-25.222500,90.000000,bottom
"C2",425.550000,-33.927500,-90.000000,bottom
"C3",431.010000,-30.380000,0.000000,bottom
"C8",415.840000,-18.492500,90.000000,bottom
"C10",373.182500,-32.211250,180.000000,bottom
"C11",373.175000,-30.141250,180.000000,bottom
"C12",423.020000,-33.932500,-90.000000,bottom
"C13",419.280000,-18.565000,0.000000,bottom
"C14",419.217500,-16.515000,0.000000,bottom
"C15",415.400000,-25.260000,90.000000,bottom
"C16",304.450000,-89.550000,180.000000,bottom
"C17",420.380000,-21.615000,180.000000,bottom
"C18",420.480000,-24.065000,180.000000,bottom
"C19",393.942500,-12.165000,180.000000,bottom
"C20",398.432500,-15.660000,180.000000,bottom
"C21",312.950000,-73.900000,180.000000,bottom
"C22",376.030000,-26.652500,90.000000,bottom
"C23",392.080000,-15.870000,90.000000,bottom
"C24",394.300000,-15.887500,90.000000,bottom
"D1",20.445000,-15.165000,-90.000000,bottom
"D2",44.195000,-15.165000,-90.000000,bottom
"D3",72.695000,-15.165000,-90.000000,bottom
"D4",96.445000,-15.165000,-90.000000,bottom
"D5",120.195000,-15.165000,-90.000000,bottom
"D6",143.945000,-15.165000,-90.000000,bottom
"D7",167.695000,-15.165000,-90.000000,bottom
"D8",198.570000,-15.165000,-90.000000,bottom
"D9",222.320000,-15.165000,-90.000000,bottom
"D10",246.070000,-15.165000,-90.000000,bottom
"D11",269.820000,-15.165000,-90.000000,bottom
"D12",293.570000,-15.165000,-90.000000,bottom
"D13",329.195000,-15.165000,-90.000000,bottom
"D14",348.195000,-15.165000,-90.000000,bottom
"D15",381.445000,-43.665000,-90.000000,bottom
"D16",400.445000,-43.665000,-90.000000,bottom
"D17",419.445000,-43.665000,-90.000000,bottom
"D18",419.445000,-50.665000,-90.000000,bottom
"D19",22.820000,-43.665000,-90.000000,bottom
"D20",44.195000,-43.665000,-90.000000,bottom
"D21",63.195000,-43.665000,-90.000000,bottom
"D22",82.195000,-43.665000,-90.000000,bottom
"D23",101.195000,-43.665000,-90.000000,bottom
"D24",120.195000,-43.665000,-90.000000,bottom
"D25",139.195000,-43.665000,-90.000000,bottom
"D26",158.195000,-43.665000,-90.000000,bottom
"D27",177.195000,-43.665000,-90.000000,bottom
"D28",196.195000,-43.665000,-90.000000,bottom
"D29",215.195000,-43.665000,-90.000000,bottom
"D30",234.195000,-43.665000,-90.000000,bottom
"D31",253.195000,-43.665000,-90.000000,bottom
"D32",272.195000,-43.665000,-90.000000,bottom
"D33",293.570000,-43.665000,-90.000000,bottom
"D34",348.195000,-43.665000,-90.000000,bottom
"D35",381.445000,-62.665000,-90.000000,bottom
"D36",400.445000,-62.665000,-90.000000,bottom
"D37",419.445000,-62.665000,-90.000000,bottom
"D38",419.445000,-69.665000,-90.000000,bottom
"D39",27.570000,-62.665000,-90.000000,bottom
"D40",51.320000,-62.665000,-90.000000,bottom
"D41",70.320000,-62.665000,-90.000000,bottom
"D42",89.320000,-62.665000,-90.000000,bottom
"D43",108.320000,-62.665000,-90.000000,bottom
"D44",127.320000,-62.665000,-90.000000,bottom
"D45",146.320000,-62.665000,-90.000000,bottom
"D46",165.320000,-62.665000,-90.000000,bottom
"D47",184.320000,-62.665000,-90.000000,bottom
"D48",203.320000,-62.665000,-90.000000,bottom
"D49",222.320000,-62.665000,-90.000000,bottom
"D50",241.320000,-62.665000,-90.000000,bottom
"D51",260.320000,-62.665000,-90.000000,bottom
"D52",329.195000,-43.665000,-90.000000,bottom
"D53",381.445000,-81.665000,-90.000000,bottom
"D54",400.445000,-81.665000,-90.000000,bottom
"D55",419.445000,-81.665000,-90.000000,bottom
"D56",419.445000,-88.665000,-90.000000,bottom
"D57",20.445000,-81.665000,-90.000000,bottom
"D58",39.445000,-81.665000,-90.000000,bottom
"D59",58.445000,-81.665000,-90.000000,bottom
"D60",77.445000,-81.665000,-90.000000,bottom
"D61",96.445000,-81.665000,-90.000000,bottom
"D62",115.445000,-81.665000,-90.000000,bottom
"D63",134.445000,-81.665000,-90.000000,bottom
"D64",153.445000,-81.665000,-90.000000,bottom
"D65",172.445000,-81.665000,-90.000000,bottom
"D66",191.445000,-81.665000,-90.000000,bottom
"D67",210.445000,-81.665000,-90.000000,bottom
"D68",229.445000,-81.665000,-90.000000,bottom
"D69",248.445000,-81.665000,-90.000000,bottom
"D70",267.445000,-81.665000,-90.000000,bottom
"D71",289.300000,-84.350000,-90.000000,bottom
"D72",338.695000,-81.665000,-90.000000,bottom
"D73",381.445000,-100.665000,-90.000000,bottom
"D74",400.445000,-100.665000,-90.000000,bottom
"D75",419.445000,-100.665000,-90.000000,bottom
"D76",419.445000,-107.665000,-90.000000,bottom
"D77",31.695000,-100.665000,-90.000000,bottom
"D78",67.945000,-100.665000,-90.000000,bottom
"D79",86.945000,-100.665000,-90.000000,bottom
"D80",105.945000,-100.665000,-90.000000,bottom
"D81",124.945000,-100.665000,-90.000000,bottom
"D82",143.945000,-100.665000,-90.000000,bottom
"D83",162.945000,-100.665000,-90.000000,bottom
"D84",181.945000,-100.665000,-90.000000,bottom
"D85",200.945000,-100.665000,-90.000000,bottom
"D86",219.945000,-100.665000,-90.000000,bottom
