Ref,Val,Package,PosX,PosY,Rot,Side
"BUZ1","Buzzer","Buzzer_Mallory_AST1109MLTRQ",322.150000,-68.200000,0.000000,bottom
"C1","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",413.000000,-25.222500,90.000000,bottom
"C2","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",425.550000,-33.927500,-90.000000,bottom
"C3","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",431.010000,-30.380000,0.000000,bottom
"C8","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",415.840000,-18.492500,90.000000,bottom
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",373.182500,-32.211250,180.000000,bottom
"C11","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",373.175000,-30.141250,180.000000,bottom
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",423.020000,-33.932500,-90.000000,bottom
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",419.280000,-18.565000,0.000000,bottom
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",419.217500,-16.515000,0.000000,bottom
"C15","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",415.400000,-25.260000,90.000000,bottom
"C16","0.1uF","C_0805_2012Metric",304.450000,-89.550000,180.000000,bottom
"C17","0.1uF","C_0805_2012Metric",420.380000,-21.615000,180.000000,bottom
"C18","0.1uF","C_0805_2012Metric",420.480000,-24.065000,180.000000,bottom
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",393.942500,-12.165000,180.000000,bottom
"C20","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",398.432500,-15.660000,180.000000,bottom
"C21","0.1uF","C_0805_2012Metric",312.950000,-73.900000,180.000000,bottom
"C22","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",376.030000,-26.652500,90.000000,bottom
"C23","10pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",392.080000,-15.870000,90.000000,bottom
"C24","10pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",394.300000,-15.887500,90.000000,bottom
"D1","D_Small","D_SOD-123",20.445000,-15.165000,-90.000000,bottom
"D2","D_Small","D_SOD-123",44.195000,-15.165000,-90.000000,bottom
"D3","D_Small","D_SOD-123",72.695000,-15.165000,-90.000000,bottom
"D4","D_Small","D_SOD-123",96.445000,-15.165000,-90.000000,bottom
"D5","D_Small","D_SOD-123",120.195000,-15.165000,-90.000000,bottom
"D6","D_Small","D_SOD-123",143.945000,-15.165000,-90.000000,bottom
"D7","D_Small","D_SOD-123",167.695000,-15.165000,-90.000000,bottom
"D8","D_Small","D_SOD-123",198.570000,-15.165000,-90.000000,bottom
"D9","D_Small","D_SOD-123",222.320000,-15.165000,-90.000000,bottom
"D10","D_Small","D_SOD-123",246.070000,-15.165000,-90.000000,bottom
"D11","D_Small","D_SOD-123",269.820000,-15.165000,-90.000000,bottom
"D12","D_Small","D_SOD-123",293.570000,-15.165000,-90.000000,bottom
"D13","D_Small","D_SOD-123",329.195000,-15.165000,-90.000000,bottom
"D14","D_Small","D_SOD-123",348.195000,-15.165000,-90.000000,bottom
"D15","D_Small","D_SOD-123",381.445000,-43.665000,-90.000000,bottom
"D16","D_Small","D_SOD-123",400.445000,-43.665000,-90.000000,bottom
"D17","D_Small","D_SOD-123",419.445000,-43.665000,-90.000000,bottom
"D18","D_Small","D_SOD-123",419.445000,-50.665000,-90.000000,bottom
"D19","D_Small","D_SOD-123",22.820000,-43.665000,-90.000000,bottom
"D20","D_Small","D_SOD-123",44.195000,-43.665000,-90.000000,bottom
"D21","D_Small","D_SOD-123",63.195000,-43.665000,-90.000000,bottom
"D22","D_Small","D_SOD-123",82.195000,-43.665000,-90.000000,bottom
"D23","D_Small","D_SOD-123",101.195000,-43.665000,-90.000000,bottom
"D24","D_Small","D_SOD-123",120.195000,-43.665000,-90.000000,bottom
"D25","D_Small","D_SOD-123",139.195000,-43.665000,-90.000000,bottom
"D26","D_Small","D_SOD-123",158.195000,-43.665000,-90.000000,bottom
"D27","D_Small","D_SOD-123",177.195000,-43.665000,-90.000000,bottom
"D28","D_Small","D_SOD-123",196.195000,-43.665000,-90.000000,bottom
"D29","D_Small","D_SOD-123",215.195000,-43.665000,-90.000000,bottom
"D30","D_Small","D_SOD-123",234.195000,-43.665000,-90.000000,bottom
"D31","D_Small","D_SOD-123",253.195000,-43.665000,-90.000000,bottom
"D32","D_Small","D_SOD-123",272.195000,-43.665000,-90.000000,bottom
"D33","D_Small","D_SOD-123",293.570000,-43.665000,-90.000000,bottom
"D34","D_Small","D_SOD-123",348.195000,-43.665000,-90.000000,bottom
"D35","D_Small","D_SOD-123",381.445000,-62.665000,-90.000000,bottom
"D36","D_Small","D_SOD-123",400.445000,-62.665000,-90.000000,bottom
"D37","D_Small","D_SOD-123",419.445000,-62.665000,-90.000000,bottom
"D38","D_Small","D_SOD-123",419.445000,-69.665000,-90.000000,bottom
"D39","D_Small","D_SOD-123",27.570000,-62.665000,-90.000000,bottom
"D40","D_Small","D_SOD-123",51.320000,-62.665000,-90.000000,bottom
"D41","D_Small","D_SOD-123",70.320000,-62.665000,-90.000000,bottom
"D42","D_Small","D_SOD-123",89.320000,-62.665000,-90.000000,bottom
"D43","D_Small","D_SOD-123",108.320000,-62.665000,-90.000000,bottom
"D44","D_Small","D_SOD-123",127.320000,-62.665000,-90.000000,bottom
"D45","D_Small","D_SOD-123",146.320000,-62.665000,-90.000000,bottom
"D46","D_Small","D_SOD-123",165.320000,-62.665000,-90.000000,bottom
"D47","D_Small","D_SOD-123",184.320000,-62.665000,-90.000000,bottom
"D48","D_Small","D_SOD-123",203.320000,-62.665000,-90.000000,bottom
"D49","D_Small","D_SOD-123",222.320000,-62.665000,-90.000000,bottom
"D50","D_Small","D_SOD-123",241.320000,-62.665000,-90.000000,bottom
"D51","D_Small","D_SOD-123",260.320000,-62.665000,-90.000000,bottom
"D52","D_Small","D_SOD-123",329.195000,-43.665000,-90.000000,bottom
"D53","D_Small","D_SOD-123",381.445000,-81.665000,-90.000000,bottom
"D54","D_Small","D_SOD-123",400.445000,-81.665000,-90.000000,bottom
"D55","D_Small","D_SOD-123",419.445000,-81.665000,-90.000000,bottom
"D56","D_Small","D_SOD-123",419.445000,-88.665000,-90.000000,bottom
