"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"switch_K2-1187SQ-A4SW-06";1;"SW_Push";;;
2;"LED1,LED2,LED3";"WS2812BDual";3;"WS2812B";;;
3;"SW_REXTRA_1,SW_L_1,SW_ARRREXT1,SW_TAB_1,SW_KP7_1,SW_9_1,SW_ARRLEXT1,SW_KP4_1,SW_1_1,SW_RLD_1,SW_EQ_1,SW_RIGHT_1,SW_KPCOM_1,SW_HS_1,SW_YEN_1,SW_F6_1,SW_KPPLUS_1,SW_F7_1,SW_Y_1,SW_F_1,SW_V_1,SW_X_1,SW_B_1,SW_KP2_1,SW_2_1,SW_COMMA_1,SW_PC_1,SW_URG_1,SW_E_1,SW_U_1,SW_J_1,SW_SUP_1,SW_F10_1,SW_M_1,SW_COPY_1,SW_ENT_1,SW_W_1,SW_5_1,SW_S_1,SW_CTRL_1,SW_LSH_1,SW_R_1,SW_D_1,SW_P_1,SW_C_1,SW_O_1,SW_F2_1,SW_F8_1,SW_FULL_1,SW_ESC_1,SW_0_1,SW_KPEQ_1,SW_WOW_1,SW_KPCLR_1,SW_BS_1,SW_KP9_1,SW_K_1,SW_Q_1,SW_DEL_1,SW_MINUS_1,SW_KPPER_1,SW_Z_1,SW_F9_1,SW_F4_1,SW_A_1,SW_LEFT_1,SW_KPMULT_1,SW_KP5_1,SW_ARRDEXT1,SW_AT_1,SW_ALT_1,SW_STP_1,SW_ARRUPEXT_1,SW_AMOG_1,SW_KP1_1,SW_KPDIV_1,SW_H_1,SW_8_1,SW_T_1,SW_KPMIN_1,SW_N_1,SW_F5_1,SW_KPHELP_1,SW_SMCH_1,SW_KP0_1,SW_KP3_1,SW_SP3_1,SW_SP1_1,SW_4_1,SW_RLU_1,SW_7_1,SW_F1_1,SW_SLASH_1,SW_UP_1,SW_6_1,SW_CAPS_1,SW_INS_1,SW_3_1,SW_KPENT_1,SW_DOWN_1,SW_PER_1,SW_SP2_1,SW_LCTRLEX_1,SW_G_1,SW_I_1,SW_KP6_1,SW_KP8_1,SW_RSH_1,SW_F3_1";"mx-nec-alps";109;"mx-alps-nec";;;
4;"C8,C3,C20,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
5;"C10,C14,C19,C12,C11,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"100nF";;;
6;"FB1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Ferrite_Bead";;;
7;"D32,D61,D104,D18,D6,D99,D37,D10,D4,D94,D105,D70,D48,D9,D74,D93,D3,D75,D20,D87,D40,D63,D28,D25,D96,D56,D29,D38,D71,D80,D89,D43,D65,D73,D35,D15,D90,D60,D59,D102,D5,D100,D109,D19,D95,D42,D77,D8,D2,D97,D84,D81,D76,D106,D27,D53,D82,D17,D57,D16,D45,D7,D54,D49,D12,D86,D13,D41,D85,D46,D68,D103,D33,D91,D51,D55,D52,D31,D66,D92,D79,D67,D11,D50,D98,D58,D23,D34,D107,D101,D1,D72,D36,D30,D26,D108,D24,D22,D83,D47,D78,D14,D69,D44,D39,D21,D62,D64,D88";"D_SOD-123";109;"D_Small";;;
8;"C16,C18,C21,C17";"C_0805_2012Metric";4;"0.1uF";;;
9;"Q3,Q2";"SOT-23";2;"Q_NMOS_GSD 2N7002";;;
10;"R16,R17,R14,R12,R5,R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"62k";;;
11;"Q1";"SOT-23";1;"Q_PMOS_GSD AO3401A";;;
12;"R9,R2,R11,R10,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"2k";;;
13;"C22,C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"4.7uF";;;
14;"C23,C24";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10pF";;;
15;"U3";"LQFP-64_10x10mm_P0.5mm";1;"STM32F411RETx";;;
16;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF";;;
17;"U2";"SOT-23-5";1;"74AHCT1G125";;;
18;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"24LC64";;;
19;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"8MHz";;;
20;"R4";"R_0805_2012Metric";1;"1k";;;
21;"BUZ1";"Buzzer_Mallory_AST1109MLTRQ";1;"Buzzer";;;
22;"U1";"SOT-223-3_TabPin2";1;"XC6206P332NR";;;
23;"J2";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"Conn_01x04_MountingPin";;;
24;"Q4";"SOT-23";1;"2N3904";;;
25;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"390";;;
26;"U5";"SOT-666";1;"USBLC6-2SC6";;;
27;"R6";"R_0805_2012Metric";1;"330";;;
